City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,quibor,70.9221,-8.7187,35.98,94,100,27.31,SJ,1731017600
83,sitka,9.9287,-69.6201,77.38,76,99,4.61,VE,1731017601
84,keflavik,57.0531,-135.33,48.09,71,75,16.11,US,1731017603
85,wailua homesteads,64.0049,-22.5624,41.43,87,75,12.66,IS,1731017480
86,bilibino,22.0669,-159.378,79.59,65,75,21.85,US,1731017435
87,karamay,68.0546,166.4372,-15.57,100,98,0.56,RU,1731017606
88,gandajika,45.6004,84.8661,40.82,51,100,1.05,CN,1731017607
89,saipan,-6.75,23.95,68.16,96,97,4.12,CD,1731017608
90,geraldton,15.1355,145.701,84.9,87,40,9.22,MP,1731017609
91,papatowai,-28.7667,114.6,61.21,82,20,8.05,AU,1731017406
92,kalach-na-donu,-46.5619,169.4708,55.18,99,100,1.66,NZ,1731017611
93,laguna,48.691,43.5264,40.33,85,46,3.6,RU,1731017613
94,jackson,38.421,-121.4238,71.08,27,0,0.0,US,1731017614
95,damghan,42.4165,-122.8345,66.02,29,0,3.44,US,1731017615
96,santa rosalia,36.1683,54.348,49.28,52,99,0.83,IR,1731017616
97,annaba,27.3167,-112.2833,70.12,30,0,20.92,MX,1731017617
98,kamaishi,36.9,7.7667,60.76,94,75,3.44,DZ,1731017618
99,singaraja,39.2667,141.8833,37.36,70,8,4.34,JP,1731017482
100,korla,-8.112,115.0882,80.11,82,90,2.66,ID,1731017620
101,la passe,41.7597,86.1469,52.45,45,100,7.0,CN,1731017622
102,caconda,45.5549,-0.8967,57.81,82,2,9.19,FR,1731017623
103,ad dabbah,-13.7333,15.0667,64.2,86,100,3.74,AO,1731017624
104,tofol,18.05,30.95,73.4,26,0,12.93,SD,1731017625
105,kurayyimah,5.3248,163.0078,85.78,79,75,6.91,FM,1731017626
106,nuuk,32.2764,35.5994,72.81,57,1,6.17,JO,1731017627
107,floro,64.1835,-51.7216,22.87,49,100,8.01,GL,1731017628
108,coquimbo,61.5996,5.0328,51.76,87,100,13.8,NO,1731017629
109,bezerros,-29.9533,-71.3436,58.73,76,75,11.5,CL,1731017630
110,qaqortoq,-8.2333,-35.7969,67.66,78,78,12.1,BR,1731017632
111,saint-pierre,60.7167,-46.0333,19.65,68,54,11.27,GL,1731017633
112,freetown,-21.3393,55.4781,71.28,78,0,4.61,RE,1731017634
113,revda,8.484,-13.2299,80.26,77,0,5.28,SL,1731017635
114,albany,56.801,59.9303,17.33,93,90,7.9,RU,1731017350
115,repalle,42.6001,-73.9662,53.46,62,19,1.01,US,1731017637
116,vilhena,16.0167,80.85,78.03,92,10,4.9,IN,1731017638
117,cameron,-12.7406,-60.1458,69.82,97,100,1.88,BR,1731017555
118,hadibu,26.117,-97.5169,84.22,76,0,17.27,US,1731017640
119,chibougamau,12.65,54.0333,78.84,83,72,8.88,YE,1731017642
120,caucete,49.9168,-74.3659,31.62,93,100,6.91,CA,1731017643
121,kiffa,-31.6518,-68.2811,83.39,31,40,12.33,AR,1731017644
122,jamestown,16.6166,-11.4045,86.07,15,1,11.59,MR,1731017645
123,isla mujeres,42.097,-79.2353,49.64,76,0,5.75,US,1731017646
124,kourou,21.2311,-86.731,82.45,83,40,3.33,MX,1731017647
125,cockburn town,5.1552,-52.6478,81.18,80,20,11.74,GF,1731017648
126,san antonio de pale,21.4612,-71.1419,82.02,75,2,21.0,TC,1731017649
127,prabumulih,-1.4014,5.6325,78.75,82,71,5.61,GQ,1731017651
128,pahrump,-3.45,104.25,72.32,97,94,2.42,ID,1731017652
129,popondetta,36.2083,-115.9839,62.49,11,0,11.99,US,1731017653
130,ivdel',-8.7537,148.2534,81.34,71,73,2.55,PG,1731017654
131,puerto san carlos,60.6911,60.4206,5.65,97,18,2.95,RU,1731017655
132,'ohonua,-43.3002,-65.1023,71.89,20,0,25.32,AR,1731017657
133,mao,19.5933,-154.9731,81.9,80,75,5.75,US,1731017660
134,hobyo,39.8885,4.2658,63.16,88,75,0.0,ES,1731017661
135,kingston,5.3505,48.5268,79.45,83,34,7.49,SO,1731017662
136,usogorsk,17.997,-76.7936,81.55,78,40,6.91,JM,1731017663
137,seybaplaya,63.4106,48.6872,15.24,99,91,3.58,RU,1731017476
138,dalianwan,19.65,-90.6667,83.66,79,62,9.24,MX,1731017665
139,celso ramos,39.0286,121.695,53.64,76,0,2.24,CN,1731017666
140,margaret river,-27.6344,-51.3364,67.19,95,100,4.79,BR,1731017667
141,lata,-33.95,115.0667,50.43,79,97,9.35,AU,1731017669
142,port-vila,40.1629,-8.3327,58.84,79,100,4.29,PT,1731017670
143,reggane,-17.7338,168.3219,83.8,70,40,14.97,VU,1731017671
144,taro,26.7158,0.1714,78.17,16,0,12.28,DZ,1731017672
145,kondopoga,-8.3862,115.28,67.6,97,95,1.14,ID,1731017673
146,queenstown,62.2057,34.2614,35.37,92,5,7.23,RU,1731017674
147,east wenatchee bench,-31.8976,26.8753,51.01,85,71,4.36,ZA,1731017675
148,aykol,47.4257,-120.2812,50.9,55,0,0.0,US,1731017676
149,carutapera,38.1751,77.2132,51.28,33,21,6.67,CN,1731017678
150,constantia,-1.195,-46.02,79.34,74,93,11.48,BR,1731017679
151,gandi,44.1833,28.65,38.08,36,0,3.94,RO,1731017680
152,apiai,12.9636,5.7434,77.14,28,56,8.79,NG,1731017681
